"Simulation 1 x [R = 100, d = 45, Regolith = 2]","Simulation 1 gcorr [R = 100, d = 45, Regolith = 2]","Simulation 1 noise [R = 100, d = 45, Regolith = 2]","Simulation 2 x [R = 200, d = 45, Regolith = 2]","Simulation 2 gcorr [R = 200, d = 45, Regolith = 2]","Simulation 2 noise [R = 200, d = 45, Regolith = 2]","Simulation 3 x [R = 300, d = 45, Regolith = 2]","Simulation 3 gcorr [R = 300, d = 45, Regolith = 2]","Simulation 3 noise [R = 300, d = 45, Regolith = 2]"
-1343.75,31.82292558832193,-0.03336271301301203,-1343.75,31.745604886684525,0.04175260072156564,-1343.75,31.667147796406894,0.08383431805159743
-1338.75,31.86045560632794,-0.02854839324090479,-1338.75,31.783214367334057,-0.03730653781625971,-1338.75,31.704829806246803,-0.0683549106160666
-1333.75,31.894814344435186,-0.022437646963758696,-1333.75,31.81764934249155,-0.04064663429126229,-1333.75,31.739333941164436,0.019142731738869274
-1328.75,31.92615070576423,-0.03132220516801049,-1328.75,31.849058915352778,0.01413123204260759,-1328.75,31.77080950545949,0.0196278912638977
-1323.75,31.954606997334214,-0.08720470067742783,-1323.75,31.877585575866657,0.018358118587305686,-1323.75,31.799399172713542,0.017763458347919803
-1318.75,31.98031927069121,-0.01806212653159292,-1318.75,31.903365542872006,0.08881296728885611,-1318.75,31.825239329458064,0.1593698263356924
-1313.75,32.00341763191276,0.022802764738982365,-1313.75,31.926529075460067,-0.06687184925179339,-1313.75,31.848460387915264,-0.005901002403641182
-1308.75,32.024026525717375,-0.033370538361833964,-1308.75,31.947200758309833,0.019827082257458845,-1308.75,31.869187072577088,-0.0016749082822952216
-1303.75,32.042264997552635,0.024198496478759327,-1303.75,31.96549976488486,0.06951768062690798,-1303.75,31.887538684526874,-0.010921234693968454
-1298.75,32.058246936838756,0.0859344623503144,-1298.75,31.98154010168167,-0.03983158539732554,-1298.75,31.903629346707167,-0.01587732129590913
-1293.75,32.07208130397949,-0.05367952782905627,-1293.75,31.99543083615319,-0.09614048653964397,-1293.75,31.917568232768335,-0.04161333735843245
-1288.75,32.08387234328774,0.014146502614501583,-1288.75,32.00727631046437,0.011230178426310517,-1288.75,31.9294597816655,-0.0015422337182929256
-1283.75,32.093719783594906,-0.004239912530172595,-1283.75,32.017176342857255,0.040599987020600296,-1283.75,31.939403899789596,-0.07173406271017539
-1278.75,32.10171902800293,0.004799161687510988,-1278.75,32.02522641809206,0.07504094978423037,-1278.75,31.947496152106453,-0.062048879447313715
-1273.75,32.10796133398203,-0.024495138744882666,-1273.75,32.03151786817402,-0.06128624988408976,-1273.75,31.953827943520754,0.04279074294778641
-1268.75,32.11253398481049,-0.02786506476615044,-1268.75,32.03613804436787,0.007431966590983533,-1268.75,31.95848669147212,0.006461466292658618
-1263.75,32.11552045317978,0.07087964403175348,-1263.75,32.03917048132823,0.06025795022841471,-1263.75,31.961555990597134,-0.05144867106793719
-1258.75,32.11700055764986,-0.06176256461249694,-1258.75,32.04069505403582,0.026779424488441103,-1258.75,31.963115770151735,0.019524908222798506
-1253.75,32.11705061252382,-0.02200714149801268,-1253.75,32.04078812811209,0.000590437466804251,-1253.75,31.96324244477044,-0.011996831427273988
-1248.75,32.115743571618616,0.07461127815772442,-1248.75,32.039522703993136,-0.029364888744419327,-1248.75,31.962009059047453,-0.000483897401889888
-1243.75,32.113149166332114,0.10324851518071854,-1243.75,32.03696855536581,0.030692330007246745,-1243.75,31.959485426345314,-0.08259460660337796
-1238.75,32.10933403834407,-0.0661091704792393,-1238.75,32.033192362207394,-0.08236306441982562,-1238.75,31.955738262175718,0.027585013715771108
-1233.75,32.1043618672406,0.09391616872188244,-1233.75,32.0282578387202,-0.006065531091761515,-1233.75,31.950831312446798,0.06538171201953034
-1228.75,32.09829349330948,-0.14890760466507172,-1228.75,32.0222258564112,0.02304782154882576,-1228.75,31.944825476828623,0.012385677606891082
-1223.75,32.09118703572177,-0.06332764723400244,-1223.75,32.01515456253464,0.013190974758763921,-1223.75,31.93777892745799,0.0021420656506287122
-1218.75,32.08309800629061,-0.04637759182125139,-1218.75,32.00709949408975,-0.09451283961848125,-1218.75,31.929747223175944,-0.005310276882314311
-1213.75,32.07407941897437,0.04170060996250105,-1213.75,31.998113687543217,0.03948964576505424,-1213.75,31.92078341946972,-2.7370657826371203e-05
-1208.75,32.06418189527877,-0.05402535853699902,-1208.75,31.98824778443225,0.03584400799861432,-1208.75,31.910938174276755,0.05618071604055657
-1203.75,32.05345376569616,0.014977511792650822,-1203.75,31.97755013298794,0.019020007399034016,-1203.75,31.900259849791706,0.020773142848166892
-1198.75,32.04194116731226,0.06844768024122976,-1198.75,31.966066885910834,-0.08518727803122872,-1198.75,31.888794610409885,-0.0225781557130919
-1193.75,32.02968813770149,-0.1031216609559343,-1193.75,31.953842094420878,0.06374717014235957,-1193.75,31.876586516930605,-0.008841338425573218
-1188.75,32.016736705226116,0.03769258600443203,-1188.75,31.940917798697992,-0.03222447704828742,-1188.75,31.863677617137665,0.0457385477461981
-1183.75,32.003126975850506,0.030124298026053903,-1183.75,31.927334114825968,0.02157295310541464,-1183.75,31.850108032870832,0.08831637686691389
-1178.75,31.988897216574664,-0.07578099422983932,-1178.75,31.913129318344478,-0.08525400477761062,-1178.75,31.83591604369416,0.07450423591923286
-1173.75,31.97408393559333,0.012084223635401806,-1173.75,31.89833992451642,0.03707221265249764,-1173.75,31.821138167268906,-0.06412907408443971
