"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m]"
-1063.75,31.60628892973536,-0.011582661435875248,-1063.75,31.58891028806374,0.017349983802009288,-1063.75,31.588492114650922,0.05539595839998748,-1063.75,31.588076655561444,0.008497384488206932,-1063.75,31.587663963584284,0.06738143558265873
-1058.75,31.584950689992215,-0.04187523726096307,-1058.75,31.567674548407815,0.03968613046575218,-1058.75,31.567251615153413,0.06462434354044415,-1058.75,31.566831424434895,-0.03245210600518463,-1058.75,31.566414030153748,0.04039105229491378
-1053.75,31.563538403373144,-0.013813761796374372,-1053.75,31.54636446190084,-0.015034666438425645,-1053.75,31.545936704684028,-0.13751285106268027,-1053.75,31.545511718702762,0.023450006844493873,-1053.75,31.545089558998225,-0.05380128119253359
-1048.75,31.54206297936534,0.0426835647903503,-1048.75,31.524990939363768,0.02481947420356191,-1048.75,31.524558292781503,0.03769712130898835,-1048.75,31.524128446632908,-0.05197989493263103,-1048.75,31.523701457126634,-0.029108719924231342
-1043.75,31.520534799286047,0.0062249920477792774,-1043.75,31.503564363365562,0.019521804183354446,-1043.75,31.50312676070299,-0.1081300695608823,-1043.75,31.502691988182136,0.06204871364443331,-1043.75,31.502260103207828,-0.04967347779754246
-1038.75,31.498963740565493,-0.03765530571030668,-1038.75,31.482094612508902,0.059771350107400145,-1038.75,31.481651985708826,-0.023877229623245174,-1038.75,31.48121221928032,-0.011636952327944322,-1038.75,31.480775371853905,-0.017723257529874487
-1033.75,31.477359199920166,-0.006293753088795906,-1033.75,31.460591084605895,0.053039708354752184,-1033.75,31.460143364237307,0.05254231944420176,-1033.75,31.459698535004122,-0.01583272049701011,-1033.75,31.459256656792995,0.02245839811455197
-1028.75,31.455730115464007,0.015636245352640455,-1028.75,31.439062718791345,-0.02992881757607469,-1028.75,31.438609834016923,0.019646944004331323,-1028.75,31.438159871688356,0.015015674305271285,-1028.75,31.43771289297968,0.023066576556913698
-1023.75,31.43408498780556,-0.04230079642941491,-1023.75,31.417518016621866,0.002328203385664258,-1023.75,31.417059895164503,0.06812920813564374,-1023.75,31.41660472802292,-0.0345927443995963,-1023.75,31.416152577690895,0.003958485841682748
-1018.75,31.412431900176312,-0.02043089320349701,-1018.75,31.395965062205565,-0.03545028477936502,-1018.75,31.395501630313902,-0.11659883065501649,-1018.75,31.395041185180883,-0.0654909116126035,-1018.75,31.394583790653137,0.05215405274562107
-1013.75,31.390778537633174,0.03389035971980502,-1013.75,31.374411541406015,-0.011331320779136548,-1013.75,31.373942723818832,-0.04525564375528329,-1013.75,31.373476926019773,-0.009994380039597107,-1013.75,31.373014213242573,0.08494805070549245
-1008.75,31.369132205377586,0.005028344833154214,-1008.75,31.35286476016224,0.058864940158939574,-1008.75,31.352390480071833,0.0027312674459737075,-1008.75,31.351919253399828,-0.008523520807608096,-1008.75,31.351451146802333,0.03608033155515394
-1003.75,31.347499846230843,-0.06251217077319725,-1003.75,31.331331661965038,0.09682822164036246,-1003.75,31.330851840979427,-0.033517930432981645,-1003.75,31.330375107657872,-0.019353180266523717,-1003.75,31.329901530115198,0.03334686727882709
-998.75,31.325888057303658,-0.04985522863744181,-998.75,31.309818844527065,-0.04255666310674803,-998.75,31.309333402630926,-0.09834443330998212,-998.75,31.30885108327501,0.03674583132670322,-998.75,31.308371956070218,0.09663953866656609
-993.75,31.304303105897795,-0.10482942269030622,-993.75,31.288332575684866,-0.08912133831787877,-993.75,31.28784143119951,0.003762746870458212,-993.75,31.287353444776436,0.043874147752477215,-993.75,31.286868687561316,0.04547655954369223
-988.75,31.282750944673325,0.0037589300946353275,-988.75,31.266878808566606,-0.00127073433899717,-988.75,31.266381878108344,-0.028375642401983314,-988.75,31.265888141896404,0.014919786066448091,-988.75,31.265397672651034,0.016437976454987412
-983.75,31.261237226116805,-0.01904013639893588,-983.75,31.245463196060022,-0.030050410538563284,-983.75,31.244960394497603,0.019007320684183107,-983.75,31.24446082404399,-0.020184443093340724,-983.75,31.24396455903502,-0.014525612363961524
