"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m, H = 50m]"
-1338.75,31.931290288806363,-0.052302272052554236,-1338.75,31.912087894554357,0.040417522243931026,-1338.75,31.8928994252628,-0.03483587295572539,-1338.75,31.873725313259403,0.033681313723028315,-1338.75,31.854565989748664,0.0038924176711869853
-1333.75,31.96556890945487,0.08183530131088444,-1333.75,31.946385852232403,-0.013598202437802472,-1333.75,31.927216920295372,-0.10412381797273913,-1333.75,31.908062549241407,0.02761941931449783,-1333.75,31.888923173519757,0.029920429205051252
-1328.75,31.996827875401937,-0.06741884902128012,-1328.75,31.977663410045988,0.0025184199124691936,-1328.75,31.95851327243589,0.07123814128426097,-1328.75,31.939377901494627,0.006478901111991875,-1328.75,31.92025773497119,-0.029529494324805713
-1323.75,32.025209320645125,-0.11715905342035444,-1323.75,32.00606274736046,0.04381088028398633,-1323.75,31.986930706495052,-0.040061591972925935,-1323.75,31.96781364035279,0.016337976165543968,-1323.75,31.948711990037417,0.019098958358021882
-1318.75,32.05084913826991,0.01816117870794891,-1318.75,32.03171979877166,0.017184066259781812,-1318.75,32.01260519865243,0.010609022441226402,-1318.75,31.99350578365286,0.03896197856418529,-1318.75,31.974421998286672,-0.05055562468296833
-1313.75,32.07387728918375,-0.024579705913154046,-1313.75,32.0547645631751,0.02180178022731193,-1313.75,32.03566678586148,0.037661977416742126,-1313.75,32.01658440647628,0.004997973685053444,-1313.75,31.997517872998653,-0.006013430340340905
-1308.75,32.094418085078836,-0.026060126419447147,-1308.75,32.07532138703158,-0.0657208356396203,-1308.75,32.05623984941815,0.015656553016297762,-1308.75,32.037173925021094,0.037071601871405395,-1308.75,32.01812406534075,-0.011334324324055288
-1303.75,32.112590449482916,-0.021396394208381207,-1303.75,32.09350922569149,0.033242955706293036,-1303.75,32.07444337655937,0.07660830489507905,-1303.75,32.055393358475,0.07587042283167061,-1303.75,32.03635962651605,0.053053951857690254
-1298.75,32.12850816006273,0.030191946667277467,-1298.75,32.10944188594661,-0.02533460002240519,-1298.75,32.09039120326342,0.055132962887374674,-1298.75,32.07135657206461,-0.06359930851984483,-1298.75,32.05233845106184,-0.006145202804512623
-1293.75,32.142280074781,-0.08470043537249856,-1293.75,32.123228252412446,-0.004125520296728034,-1293.75,32.104192240857856,-0.08230613421137718,-1293.75,32.0851725038894,0.005789546951579633,-1293.75,32.066169503909656,-0.03997549303417611
