x,g
-1338.75,32.013659193862345
-1336.75,32.02783562144022
-1334.75,32.04151419027395
-1332.75,32.054704385324754
-1330.75,32.06741552093652
-1328.75,32.079656744495374
-1326.75,32.09143703994523
-1324.75,32.1027652311706
-1322.75,32.11364998525408
-1320.75,32.12409981561695
-1318.75,32.13412308505137
-1316.75,32.14372800864961
-1314.75,32.15292265663837
-1312.75,32.1617149571225
-1310.75,32.17011269874499
-1308.75,32.178123533267346
-1306.75,32.18575497807571
-1304.75,32.19301441861631
-1302.75,32.19990911076518
-1300.75,32.20644618313488
-1298.75,32.212632639322415
-1296.75,32.21847536010124
-1294.75,32.2239811055599
-1292.75,32.22915651719091
-1290.75,32.23400811993128
-1288.75,32.23854232415838
-1286.75,32.242765427641594
-1284.75,32.24668361745352
-1282.75,32.250302971841016
-1280.75,32.25362946205934
-1278.75,32.25666895416927
-1276.75,32.25942721080024
-1274.75,32.261909892879906
-1272.75,32.26412256133183
-1270.75,32.26607067874182
-1268.75,32.267759610995604
-1266.75,32.26919462888657
-1264.75,32.27038090969634
-1262.75,32.27132353874875
-1260.75,32.27202751093668
-1258.75,32.27249773222467
-1256.75,32.27273902112639
-1254.75,32.2727561101582
-1252.75,32.272553647269305
-1250.75,32.27213619724959
-1248.75,32.27150824311445
-1246.75,32.27067418746872
-1244.75,32.269638353849025
-1242.75,32.268404988045226
-1240.75,32.266978259401746
-1238.75,32.26536226209879
-1236.75,32.26356101641437
-1234.75,32.2615784699662
-1232.75,32.259418498935936
-1230.75,32.257084909273786
-1228.75,32.25458143788543
-1226.75,32.25191175380113
-1224.75,32.24907945932627
-1222.75,32.24608809117569
-1220.75,32.24294112158999
-1218.75,32.23964195943506
-1216.75,32.23619395128532
-1214.75,32.23260038249014
-1212.75,32.22886447822412
-1210.75,32.22498940452147
-1208.75,32.22097826929443
-1206.75,32.21683412333647
-1204.75,32.21255996130927
-1202.75,32.2081587227158
-1200.75,32.203633292856956
-1198.75,32.1989865037745
-1196.75,32.194221135178985
-1194.75,32.18933991536274
-1192.75,32.18434552209962
-1190.75,32.179240583529776
-1188.75,32.174027679030665
-1186.75,32.16870934007479
-1184.75,32.163288051073415
-1182.75,32.1577662502067
-1180.75,32.152146330241166
-1178.75,32.146430639333786
-1176.75,32.140621481822954
-1174.75,32.13472111900699
-1172.75,32.12873176990998
-1170.75,32.12265561203512
-1168.75,32.11649478210579
-1166.75,32.11025137679468
-1164.75,32.103927453440534
-1162.75,32.097525030753665
-1160.75,32.0910460895093
-1158.75,32.084492573229724
-1156.75,32.077866388855135
-1154.75,32.07116940740284
-1152.75,32.06440346461599
-1150.75,32.05757036160124
-1148.75,32.05067186545523
-1146.75,32.04370970988122
-1144.75,32.03668559579474
-1142.75,32.02960119191888
-1140.75,32.02245813536998
-1138.75,32.01525803223287
-1136.75,32.00800245812592
-1134.75,32.00069295875741
-1132.75,31.993331050471152
-1130.75,31.985918220783343
-1128.75,31.978455928910133
-1126.75,31.970945606285454
-1124.75,31.963388657070475
-1122.75,31.955786458653797
-1120.75,31.948140362142915
-1118.75,31.940451692847123
-1116.75,31.93272175075199
-1114.75,31.92495181098505
-1112.75,31.917143124273974
-1110.75,31.9092969173959
-1108.75,31.901414393619365
-1106.75,31.893496733137724
-1104.75,31.885545093495807
-1102.75,31.87756061000766
-1100.75,31.869544396168234
-1098.75,31.86149754405643
-1096.75,31.853421124731824
-1094.75,31.845316188623595
-1092.75,31.837183765912908
-1090.75,31.8290248669082
-1088.75,31.82084048241361
-1086.75,31.812631584090955
-1084.75,31.80439912481479
-1082.75,31.796144039021446
-1080.75,31.78786724305136
-1078.75,31.77956963548548
-1076.75,31.771252097475
-1074.75,31.762915493065925
-1072.75,31.75456066951672
-1070.75,31.746188457611176
-1068.75,31.73779967196445
-1066.75,31.729395111324287
-1064.75,31.720975558866563
-1062.75,31.712541782485
-1060.75,31.70409453507616
-1058.75,31.69563455481861
-1056.75,31.68716256544716
-1054.75,31.678679276522306
-1052.75,31.670185383694182
-1050.75,31.661681568962166
-1048.75,31.65316850092899
