x,g
-1125.0,32.07382869950722
-1123.0,32.06613250812196
-1121.0,32.058392794207634
-1119.0,32.05061087960109
-1117.0,32.04278806085511
-1115.0,32.03492560970365
-1113.0,32.02702477351816
-1111.0,32.019086775756236
-1109.0,32.01111281640242
-1107.0,32.00310407240073
-1105.0,31.99506169807995
-1103.0,31.986986825571144
-1101.0,31.978880565217526
-1099.0,31.97074400597752
-1097.0,31.96257821581996
-1095.0,31.954384242112706
-1093.0,31.946163112003813
-1091.0,31.937915832796286
-1089.0,31.92964339231583
-1087.0,31.9213467592718
-1085.0,31.91302688361195
-1083.0,31.90468469687048
-1081.0,31.896321112509955
-1079.0,31.887937026256836
-1077.0,31.879533316430884
-1075.0,31.87111084426888
-1073.0,31.862670454241925
-1071.0,31.854212974367346
-1069.0,31.84573921651472
-1067.0,31.837249976706268
-1065.0,31.828746035411807
-1063.0,31.820228157838322
-1061.0,31.81169709421399
-1059.0,31.80315358006724
-1057.0,31.794598336500528
-1055.0,31.78603207045903
-1053.0,31.777455474994518
-1051.0,31.76886922952423
-1049.0,31.760274000085
-1047.0,31.751670439582504
-1045.0,31.74305918803652
-1043.0,31.734440872820624
-1041.0,31.725816108898343
-1039.0,31.717185499054445
-1037.0,31.708549634122097
-1035.0,31.69990909320574
-1033.0,31.69126444389993
-1031.0,31.68261624250383
-1029.0,31.673965034231976
-1027.0,31.665311353421195
-1025.0,31.656655723733245
-1023.0,31.647998658354165
-1021.0,31.639340660189426
-1019.0,31.630682222055903
-1017.0,31.622023826869917
-1015.0,31.613365947832058
-1013.0,31.604709048608175
-1011.0,31.596053583507306
-1009.0,31.587399997656163
-1007.0,31.578748727170442
-1005.0,31.570100199322688
-1003.0,31.561454832707348
-1001.0,31.552813037402448
-999.0,31.544175215128465
-997.0,31.535541759403987
-995.0,31.526913055698664
-993.0,31.51828948158346
-991.0,31.509671406877338
-989.0,31.50105919379225
-987.0,31.49245319707454
-985.0,31.483853764144154
-983.0,31.475261235231116
-981.0,31.46667594350956
-979.0,31.458098215228794
-977.0,31.4495283698428
-975.0,31.440966720136306
-973.0,31.432413572349198
-971.0,31.423869226298244
