"Simulation 1 x [R = 50m, d = 45m, Regolith = 2m]","Simulation 1 gcorr [R = 50m, d = 45m, Regolith = 2m]","Simulation 1 noise [R = 50m, d = 45m, Regolith = 2m]","Simulation 2 x [R = 100m, d = 45m, Regolith = 2m]","Simulation 2 gcorr [R = 100m, d = 45m, Regolith = 2m]","Simulation 2 noise [R = 100m, d = 45m, Regolith = 2m]","Simulation 3 x [R = 150m, d = 45m, Regolith = 2m]","Simulation 3 gcorr [R = 150m, d = 45m, Regolith = 2m]","Simulation 3 noise [R = 150m, d = 45m, Regolith = 2m]","Simulation 4 x [R = 200m, d = 45m, Regolith = 2m]","Simulation 4 gcorr [R = 200m, d = 45m, Regolith = 2m]","Simulation 4 noise [R = 200m, d = 45m, Regolith = 2m]","Simulation 5 x [R = 250m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 250m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 250m, d = 45m, Regolith = 2m]"
-1338.75,31.91210567915818,0.028853891922391996,-1338.75,31.87367547440347,-0.053437781753191055,-1338.75,31.835132893562974,0.023008171452025467,-1338.75,31.796393300124937,-0.03665180994373961,-1338.75,31.75736880965399,-0.001257261027383879
-1333.75,31.94640376730083,0.09709817351866815,-1333.75,31.90801234485584,0.023550103487518095,-1333.75,31.86950811281986,0.031763430270893525,-1333.75,31.83080579814486,-0.05956194002783943,-1333.75,31.791816830813545,0.011032390893961163
-1328.75,31.977681457778544,-0.020770669899465244,-1328.75,31.93932732541378,-0.03337156834271318,-1328.75,31.900859937615955,-0.02791641315037078,-1328.75,31.862193373844693,0.0737849106549777,-1328.75,31.823238366420682,0.045044627713282104
-1323.75,32.00608092996083,-0.03257093516402182,-1323.75,31.967762686399617,-0.05538620343744397,-1323.75,31.929330729496556,-0.03590119727641152,-1323.75,31.890698480230476,0.03621776739232668,-1323.75,31.851775961124552,0.08975659192314434
-1318.75,32.03173811845053,-0.07318233331967293,-1318.75,31.993454445630675,0.03118032850781984,-1318.75,31.95505658971914,-0.08554404194697152,-1318.75,31.91645730217831,-0.09225434399357546,-1318.75,31.877565883526913,0.0397412637800802
-1313.75,32.054783022153,0.007904185394138653,-1313.75,32.01653267816102,-0.06324060858056517,-1313.75,31.97816766967107,0.05780403375739465,-1313.75,31.93960006753251,0.10783663673590207,-1313.75,31.90073843796576,-0.02160914092316418
-1308.75,32.075339987541504,-0.0055627276485544115,-1308.75,32.03712180015394,0.03158938388523464,-1308.75,31.9987884553525,-0.03137686074203116,-1308.75,31.96025133220249,-0.10253790481886485,-1308.75,31.921418250231024,0.010727016661826709
-1303.75,32.09352796998132,0.09539784987901091,-1303.75,32.05534083075534,0.07153731818296825,-1303.75,32.01703802980174,0.06738558506626299,-1303.75,31.978530243143698,-0.016271708951759122,-1303.75,31.939724531104634,-0.05117086108200415
-1298.75,32.109460776281566,-0.036902413734758936,-1298.75,32.071303635143344,-0.004276211106969731,-1298.75,32.03303031664521,-0.030127872528961576,-1298.75,31.994550782410958,0.11097317920097252,-1298.75,31.955771320921226,-0.005930299826603605
-1293.75,32.12324729107736,-0.023147488944443954,-1293.75,32.08511915136254,-0.0030233927468784165,-1293.75,32.0468743073861,0.05247701634245912,-1293.75,32.00842199490425,0.039568293591983036,-1293.75,31.96966771777403,0.010874036812318834
