x,g
-1125.0,32.13027543239093
-1123.0,32.12257589353453
-1121.0,32.11483296104403
-1119.0,32.107047956946154
-1117.0,32.09922217799667
-1115.0,32.09135689614505
-1113.0,32.08345335899085
-1111.0,32.07551279023214
-1109.0,32.06753639010601
-1107.0,32.0595253358209
-1105.0,32.05148078198182
-1103.0,32.04340386100763
-1101.0,32.0352956835408
-1099.0,32.02715733885012
-1097.0,32.018989895225886
-1095.0,32.01079440036858
-1093.0,32.002571881769555
-1091.0,31.99432334708591
-1089.0,31.986049784507887
-1087.0,31.977752163120037
-1085.0,31.969431433255608
-1083.0,31.961088526844506
-1081.0,31.952724357755265
-1079.0,31.944339822130402
-1077.0,31.935935798715718
-1075.0,31.92751314918399
-1073.0,31.919072718452203
-1071.0,31.91061533499337
-1069.0,31.902141811142496
-1067.0,31.893652943397004
-1065.0,31.885149512711514
-1063.0,31.87663228478735
-1061.0,31.86810201035673
-1059.0,31.85955942546165
-1057.0,31.85100525172753
-1055.0,31.842440196632158
-1053.0,31.833864953769332
-1051.0,31.825280203107713
-1049.0,31.816686611245117
-1047.0,31.80808483165761
-1045.0,31.799475504944642
-1043.0,31.790859259069123
-1041.0,31.7822367095933
-1039.0,31.77360845991006
-1037.0,31.764975101470156
-1035.0,31.75633721400519
-1033.0,31.74769536574625
-1031.0,31.739050113638665
-1029.0,31.730402003552726
-1027.0,31.72175157049043
-1025.0,31.71309933878857
-1023.0,31.704445822317627
-1021.0,31.695791524677446
-1019.0,31.687136939388783
-1017.0,31.67848255008188
-1015.0,31.669828830680824
-1013.0,31.661176245585107
-1011.0,31.65252524984719
-1009.0,31.64387628934731
-1007.0,31.63522980096468
-1005.0,31.626586212745607
-1003.0,31.61794594406839
-1001.0,31.609309405805252
-999.0,31.60067700048117
-997.0,31.59204912242973
-995.0,31.583426157946
-993.0,31.574808485436996
-991.0,31.5661964755685
-989.0,31.557590491409805
-987.0,31.548990888575663
-985.0,31.540398015365334
-983.0,31.531812212899133
-981.0,31.523233815252652
-979.0,31.514663149587932
-977.0,31.50610053628307
-975.0,31.497546289058192
-973.0,31.489000715100346
-971.0,31.480464115185043
-969.0,31.471936783796203
-967.0,31.46341900924338
-965.0,31.454911073777122
-963.0,31.446413253702133
-961.0,31.43792581948811
-959.0,31.429449035878736
-957.0,31.42098316199855
-955.0,31.41252845145767
-953.0,31.40408515245509
-951.0,31.395653507879285
-949.0,31.38723375540751
-947.0,31.378826127603077
-945.0,31.370430852010745
-943.0,31.36204815125045
-941.0,31.353678243109243
-939.0,31.345321340631422
-937.0,31.336977652207143
-935.0,31.32864738165936
-933.0,31.32033072832893
-931.0,31.312027887158386
-929.0,31.303739048774172
-927.0,31.29546439956716
-925.0,31.287204121771566
-923.0,31.27895839354302
-921.0,31.270727389034274
-919.0,31.26251127847027
-917.0,31.254310228221566
-915.0,31.246124400876145
-913.0,31.23795395531038
-911.0,31.229799046758053
-909.0,31.22165982687884
-907.0,31.213536443824893
-905.0,31.205429042306605
-903.0,31.19733776365686
-901.0,31.1892627458943
-899.0,31.18120412378533
-897.0,31.17316202890504
-895.0,31.16513658969689
-893.0,31.15712793153144
-891.0,31.149136176763907
-889.0,31.14116144479061
-887.0,31.133203852104483
-885.0,31.12526351234964
-883.0,31.11734053637455
-881.0,31.109435032284726
-879.0,31.101547105494223
-877.0,31.093676858776025
-875.0,31.085824392311753
-873.0,31.077989803740415
-871.0,31.07017318820627
-869.0,31.062374638405398
-867.0,31.054594244632383
-865.0,31.046832094824975
-863.0,31.039088274608936
-861.0,31.031362867341304
-859.0,31.02365595415332
-857.0,31.015967613992423
-855.0,31.008297923663573
-853.0,31.00064695786961
-851.0,30.99301478925106
-849.0,30.98540148842512
-847.0,30.97780712402409
-845.0,30.97023176273285
-843.0,30.9626754693258
-841.0,30.955138306703265
-839.0,30.947620335926747
-837.0,30.940121616254398
-835.0,30.93264220517485
-833.0,30.925182158441036
-831.0,30.917741530103445
-829.0,30.91032037254244
-827.0,30.90291873650005
-825.0,30.89553667111155
-823.0,30.888174223935973
-821.0,30.880831440986356
-819.0,30.87350836675936
-817.0,30.866205044264497
-815.0,30.858921515052426
-813.0,30.851657819243343
-811.0,30.844413995554316
-809.0,30.8371900813263
-807.0,30.829986112550976
-805.0,30.822802123896427
-803.0,30.81563814873311
-801.0,30.80849421915886
-799.0,30.801370366023562
-797.0,30.794266618953415
-795.0,30.787183006374796
