x,g
-1338.75,32.12711661154338
-1336.75,32.14106137235232
-1334.75,32.15451146602481
-1332.75,32.167476299228795
-1330.75,32.17996511083997
-1328.75,32.191986975467564
-1326.75,32.20355080684431
-1324.75,32.21466536109002
-1322.75,32.22533923985775
-1320.75,32.23558089336853
-1318.75,32.24539862334383
-1316.75,32.254800585840925
-1314.75,32.26379479399742
-1312.75,32.27238912069139
-1310.75,32.28059130112125
-1308.75,32.288408935310486
-1306.75,32.29584949054227
-1304.75,32.30292030372692
-1302.75,32.3096285837073
-1300.75,32.31598141350411
-1298.75,32.321985752506
-1296.75,32.327648438606055
-1294.75,32.33297619028815
-1292.75,32.33797560866582
-1290.75,32.34265317947527
-1288.75,32.347015275025925
-1286.75,32.35106815610907
-1284.75,32.354817973867924
-1282.75,32.358270771629606
-1280.75,32.36143248670168
-1278.75,32.364308952133904
-1276.75,32.36690589844714
-1274.75,32.36922895533065
-1272.75,32.37128365330827
-1270.75,32.373075425375696
-1268.75,32.37460960860913
-1266.75,32.37589144574642
-1264.75,32.376926086741236
-1262.75,32.37771859029228
-1260.75,32.37827392534652
-1258.75,32.378596972578734
-1256.75,32.378692525847235
-1254.75,32.378565293626274
-1252.75,32.3782199004164
-1250.75,32.37766088813264
-1248.75,32.376892717471165
-1246.75,32.37591976925519
-1244.75,32.37474634576031
-1242.75,32.373376672019695
-1240.75,32.37181489710939
-1238.75,32.370065095414795
-1236.75,32.36813126787746
-1234.75,32.36601734322388
-1232.75,32.363727179175385
-1230.75,32.36126456364042
-1228.75,32.35863321588857
-1226.75,32.35583678770777
-1224.75,32.35287886454353
-1222.75,32.349762966621675
-1220.75,32.34649255005408
-1218.75,32.34307100792798
-1216.75,32.33950167137913
-1214.75,32.33578781064836
-1212.75,32.33193263612292
-1210.75,32.32793929936158
-1208.75,32.32381089410465
-1206.75,32.3195504572685
-1204.75,32.3151609699249
-1202.75,32.31064535826568
-1200.75,32.3060064945526
-1198.75,32.301247198052366
-1196.75,32.2963702359576
-1194.75,32.29137832429354
-1192.75,32.28627412881063
-1190.75,32.28106026586294
-1188.75,32.275739303273475
-1186.75,32.270313761185506
-1184.75,32.2647861129006
-1182.75,32.25915878570352
-1180.75,32.25343416167379
-1178.75,32.24761457848468
-1176.75,32.24170233018936
-1174.75,32.235699667994155
-1172.75,32.229608801019864
-1170.75,32.22343189705032
-1168.75,32.21717108326911
-1166.75,32.210828446984074
-1164.75,32.20440603634027
-1162.75,32.197905861021084
-1160.75,32.19132989293774
-1158.75,32.184680066907625
-1156.75,32.17795828132109
-1154.75,32.171166398797595
-1152.75,32.164306246830435
-1150.75,32.157379618421075
-1148.75,32.15038827270252
-1146.75,32.1433339355526
-1144.75,32.13621830019621
-1142.75,32.12904302779829
-1140.75,32.12180974804565
-1138.75,32.114520059719844
-1136.75,32.10717553125955
-1134.75,32.0997777013138
-1132.75,32.092328079285295
-1130.75,32.08482814586447
-1128.75,32.077279353554594
-1126.75,32.06968312718738
-1124.75,32.06204086442977
-1122.75,32.05435393628207
-1120.75,32.046623687566914
-1118.75,32.03885143741017
-1116.75,32.03103847971324
-1114.75,32.023186083616686
-1112.75,32.015295493956344
-1110.75,32.007367931710796
-1108.75,31.999404594441092
-1106.75,31.9914066567228
-1104.75,31.983375270570267
-1102.75,31.975311565853094
-1100.75,31.967216650705726
-1098.75,31.95909161192904
-1096.75,31.9509375153853
-1094.75,31.942755406385565
-1092.75,31.93454631007039
-1090.75,31.926311231783863
-1088.75,31.91805115744013
-1086.75,31.909767053884252
-1084.75,31.901459869245762
-1082.75,31.893130533286193
-1080.75,31.88477995774033
-1078.75,31.876409036650966
-1076.75,31.868018646697646
-1074.75,31.85960964751983
-1072.75,31.851182882033413
-1070.75,31.842739176741993
-1068.75,31.834279342042475
-1066.75,31.82580417252466
-1064.75,31.817314447265588
-1062.75,31.80881093011849
-1060.75,31.800294369996543
-1058.75,31.791765501150916
-1056.75,31.783225043444364
-1054.75,31.77467370261911
-1052.75,31.766112170560376
-1050.75,31.75754112555453
-1048.75,31.748961232542822
-1046.75,31.74037314337032
-1044.75,31.731777497030194
-1042.75,31.723174919903347
-1040.75,31.71456602599397
-1038.75,31.705951417160197
-1036.75,31.69733168334113
-1034.75,31.68870740277907
-1032.75,31.68007914223774
-1030.75,31.671447457216736
-1028.75,31.662812892161863
-1026.75,31.65417598067108
-1024.75,31.64553724569744
-1022.75,31.636897199747498
-1020.75,31.628256345076586
-1018.75,31.619615173879996
-1016.75,31.610974168480897
-1014.75,31.602333801514554
-1012.75,31.593694536109318
-1010.75,31.585056826063944
-1008.75,31.57642111602191
-1006.75,31.567787841642154
-1004.75,31.559157429766934
-1002.75,31.550530298586384
-1000.75,31.54190685779996
-998.75,31.533287508774947
-996.75,31.524672644701937
-994.75,31.516062650747507
-992.75,31.507457904203882
-990.75,31.498858774636005
-988.75,31.490265624025536
-986.75,31.481678806912523
-984.75,31.473098670534135
-982.75,31.46452555496113
-980.75,31.455959793231163
-978.75,31.44740171148036
-976.75,31.43885162907189
-974.75,31.430309858722328
-972.75,31.421776706625543
-970.75,31.413252472574488
-968.75,31.40473745008046
-966.75,31.39623192649032
-964.75,31.387736183101413
-962.75,31.379250495274267
-960.75,31.370775132543557
-958.75,31.36231035872634
-956.75,31.353856432029033
-954.75,31.345413605151602
-952.75,31.336982125390698
-950.75,31.328562234739884
-948.75,31.32015416998884
-946.75,31.31175816282015
-944.75,31.303374439904708
-942.75,31.295003222994765
-940.75,31.286644729016
-938.75,31.27829917015726
-936.75,31.2699667539588
-934.75,31.261647683399097
-932.75,31.253342156979684
-930.75,31.245050368808705
-928.75,31.236772508682837
-926.75,31.228508762167326
-924.75,31.220259310675303
-922.75,31.21202433154491
-920.75,31.203803998115234
-918.75,31.195598479801
-916.75,31.18740794216556
-914.75,31.179232546992704
-912.75,31.171072452357336
-910.75,31.162927812694345
-908.75,31.154798778866652
-906.75,31.14668549823172
-904.75,31.138588114706902
-902.75,31.13050676883381
-900.75,31.122441597840993
-898.75,31.11439273570585
-896.75,31.10636031321552
-894.75,31.098344458025995
-892.75,31.090345294720848
-890.75,31.08236294486846
-888.75,31.0743975270784
-886.75,31.06644915705658
-884.75,31.05851794765956
-882.75,31.050604008947666
-880.75,31.042707448237323
-878.75,31.034828370152308
-876.75,31.026966876674052
-874.75,31.01912306719117
-872.75,31.01129703854759
-870.75,31.003488885090672
-868.75,30.995698698717494
-866.75,30.987926568920876
-864.75,30.980172582834427
-862.75,30.972436825276677
-860.75,30.964719378794346
-858.75,30.957020323705134
-856.75,30.949339738139336
-854.75,30.941677698080884
-852.75,30.93403427740768
-850.75,30.926409547931012
-848.75,30.918803579434513
-846.75,30.91121643971206
-844.75,30.90364819460532
-842.75,30.896098908040255
-840.75,30.88856864206331
-838.75,30.881057456876796
-836.75,30.873565410873464
-834.75,30.866092560670644
-832.75,30.858638961143658
-830.75,30.851204665458788
-828.75,30.84378972510539
-826.75,30.83639418992744
-824.75,30.829018108154926
-822.75,30.82166152643399
-820.75,30.814324489857068
-818.75,30.80700704199213
-816.75,30.799709224911762
-814.75,30.79243107922113
-812.75,30.785172644086114
-810.75,30.777933957260426
-808.75,30.770715055112294
-806.75,30.763515972651227
-804.75,30.75633674355297
-802.75,30.74917740018587
-800.75,30.742037973634986
-798.75,30.734918493726724
-796.75,30.72781898905298
-794.75,30.720739486994425
-792.75,30.713680013743765
-790.75,30.706640594328356
-788.75,30.69962125263242
-786.75,30.69262201141891
-784.75,30.685642892351154
-782.75,30.678683916013384
-780.75,30.67174510193207
-778.75,30.664826468595617
-776.75,30.657928033474672
-774.75,30.651049813041414
-772.75,30.644191822788887
-770.75,30.637354077249604
-768.75,30.63053659001448
-766.75,30.623739373750254
-764.75,30.616962440218003
-762.75,30.610205800290142
-760.75,30.603469463967706
-758.75,30.59675344039723
-756.75,30.59005773788706
-754.75,30.583382363923874
-752.75,30.576727325188262
-750.75,30.570092627570503
-748.75,30.563478276185737
-746.75,30.556884275389184
-744.75,30.550310628790587
-742.75,30.543757339268996
-740.75,30.537224408986688
-738.75,30.53071183940324
-736.75,30.52421963128902
-734.75,30.517747784738763
-732.75,30.511296299184664
-730.75,30.504865173409037
-728.75,30.498454405557286
-726.75,30.492063993149994
-724.75,30.485693933095295
-722.75,30.47934422170071
-720.75,30.47301485468475
-718.75,30.466705827188562
-716.75,30.460417133786905
-714.75,30.45414876849942
-712.75,30.447900724801087
-710.75,30.441672995633354
-708.75,30.435465573413808
-706.75,30.42927845004686
-704.75,30.423111616933483
-702.75,30.41696506498107
-700.75,30.410838784612704
-698.75,30.40473276577686
-696.75,30.3986469979565
-694.75,30.392581470177753
-692.75,30.38653617101904
-690.75,30.380511088619542
-688.75,30.374506210687567
-686.75,30.368521524508736
-684.75,30.362557016954348
